"자전거대여소명",자전거대여소구분,소재지도로명주소,소재지지번주소,위도,경도,운영시작시각,운영종료시각,휴무일,요금구분,자전거이용요금,자전거보유대수,거치대수,공기주입기비치여부,공기주입기유형,수리대설치여부,관리기관전화번호,관리기관명,데이터기준일자
"새롬동상가오렌지빌딩",무인대여소,,세종특별자치시 새롬동 산6,36.4866397037,127.25099944,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새롬동해피라움W앞",무인대여소,,세종특별자치시 새롬동 산6,36.4866397037,127.25099944,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새뜸마을1003동건너편",무인대여소,,세종특별자치시 새롬동 산5,36.487309,127.251418,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새뜸마을402동앞로터리",무인대여소,,세종특별자치시 새롬동 454-4,36.486780,127.247663,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새뜸마을703동앞",무인대여소,,세종특별자치시 새롬동 302-1,36.488113,127.250338,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새뜸마을705동앞",무인대여소,,세종특별자치시 새롬동 266,36.489253,127.250133,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"새롬종합복지센터좌",무인대여소,,세종특별자치시 새롬동 66-5,36.485805,127.256033,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"나성동명동프라자옆BRT",무인대여소,,세종특별자치시 나성동 726,36.487564,127.257124,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"다정초다정고사이(봄빛문화공원)",무인대여소,,세종특별자치시 다정동 22-6,36.493183,127.243401,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"다정중북측(가온511동앞)",무인대여소,,세종특별자치시 다정동 334,36.494615,127.245049,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"다정동the다정빌딩옆",무인대여소,,세종특별자치시 다정동 7-3,36.494859,127.248580,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"도란뜰근린공원(가온5단지)",무인대여소,,세종특별자치시 다정동 9-3,36.493878,127.248148,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
"다정동e편한세상녹지",무인대여소,,세종특별자치시 다정동 363-257,36.490780,127.249509,00:00,23:59,없음,유료,1000원,20,,N,,N,1899-9161,세종특별자치시청,2019-08-13
